Object ID,Department,Object Name,Title,Culture,Artist Nationality,Object Begin Date,Object End Date,Medium,Credit Line,Country
1674,American Decorative Arts,Side Chair,Side Chair,American,,1970-01-01 00:00:00.000001794,1970-01-01 00:00:00.000001799,"Mahogany, ebony, ash, birch, white pine","Friends of the American Wing Fund, 1962",United States
2430,American Decorative Arts,Pitcher,Covered Pitcher,American,,1970-01-01 00:00:00.000001700,1970-01-01 00:00:00.000001900,Earthenware,"Rogers Fund, 1913",United States
6406,American Decorative Arts,Plate,Plate,Dutch,,1970-01-01 00:00:00.000001740,1970-01-01 00:00:00.000001760,Earthenware,"Rogers Fund, 1933",Netherlands
7616,American Decorative Arts,Soup bowl,Soup Bowl,American,,1970-01-01 00:00:00.000001885,1970-01-01 00:00:00.000001885,Porcelain,"Gift of Mr. and Mrs. Franklin Chace, 1969",United States
15012,American Decorative Arts,"Painting, miniature",Portrait of a Lady,American,,1970-01-01 00:00:00.000001840,1970-01-01 00:00:00.000001840,Watercolor on ivory,"Fletcher Fund, 2006",
23510,Arms and Armor,Arrowhead (Yanonē),Arrowhead (Yanonē),Japanese,,1970-01-01 00:00:00.000001701,1970-01-01 00:00:00.000001800,Steel,"The Collection of Giovanni P. Morosini, presented by his daughter Giulia, 1932",
29920,Arms and Armor,Knife handle (Kozuka),Knife Handle (Kozuka),Japanese,,1970-01-01 00:00:00.000001770,1970-01-01 00:00:00.000001852,"Copper-gold alloy (shakudō), copper-silver alloy (shibuichi), gold","The Howard Mansfield Collection, Gift of Howard Mansfield, 1936",
32848,Arms and Armor,Coin (Thaler),Coin (Thaler) Showing August I (The Pious) of Saxony,German,,1970-01-01 00:00:00.000001580,1970-01-01 00:00:00.000001580,Silver,"Gift of Bashford Dean, 1923",
34014,Arms and Armor,Two drawings,Drawings Showing Combat on Foot (Champ Clos),German,,1970-01-01 00:00:00.000001501,1970-01-01 00:00:00.000001600,"Pen, ink and watercolor on paper","Bashford Dean Memorial Collection, Funds from various donors, 1929",
34308,Arms and Armor,Partisan,Partisan,German,,1970-01-01 00:00:00.000001701,1970-01-01 00:00:00.000001800,"Steel, wood, textile, metallic thread","Bashford Dean Memorial Collection, Gift of Edward S. Harkness, 1929",
34477,Arms and Armor,Sword guard (Tsuba),Sword Guard (Tsuba),Japanese,,1970-01-01 00:00:00.000001590,1970-01-01 00:00:00.000001900,"Iron, gold, silver, copper","H. O. Havemeyer Collection, Bequest of Mrs. H. O. Havemeyer, 1929",
35163,Arms and Armor,Dirk with sheath,Dirk with Sheath,possibly Spanish,,1970-01-01 00:00:00.000001800,1970-01-01 00:00:00.000001850,"Steel, horn, brass, leather, copper wire","Gift of Rutherfurd Stuyvesant, 1891",
39917,Asian Art,Hanging scroll mounted as handscroll,,China,Chinese,1970-01-01 00:00:00.000001037,1970-01-01 00:00:00.000001101,Hanging scroll mounted as a handscroll; ink on paper,"Bequest of John M. Crawford Jr., 1988",
53280,Asian Art,Bracelet,,Thailand,,1969-12-31 23:59:59.999999700,1970-01-01 00:00:00.000000400,Bronze,"Samuel Eilenberg Collection, Bequest of Samuel Eilenberg, 1998",
54547,Asian Art,Print,,Japan,Japanese,1970-01-01 00:00:00.000001800,1970-01-01 00:00:00.000001899,Polychrome woodblock print (surimono); ink and color on paper,"H. O. Havemeyer Collection, Bequest of Mrs. H. O. Havemeyer, 1929",
54626,Asian Art,Album leaf,,Japan,Japanese,1970-01-01 00:00:00.000001877,1970-01-01 00:00:00.000001897,Album leaf; ink and color on silk,"Charles Stewart Smith Collection, Gift of Mrs. Charles Stewart Smith, Charles Stewart Smith Jr., and Howard Caswell Smith, in memory of Charles Stewart Smith, 1914",
55442,Asian Art,Print,,Japan,Japanese,1970-01-01 00:00:00.000001838,1970-01-01 00:00:00.000001838,Polychrome woodblock print; ink and color on paper,"Rogers Fund, 1922",
58899,Asian Art,Inrō,,Japan,,1970-01-01 00:00:00.000001800,1970-01-01 00:00:00.000001899,"Lacquer, hirame ground, gold, red, silver and brown hiramakie, raden inlay; Interior: nashiji and fundame","The Howard Mansfield Collection, Purchase, Rogers Fund, 1936",
62174,Asian Art,Basket,,Japan,,1970-01-01 00:00:00.000001800,1970-01-01 00:00:00.000001899,Bamboo,"Edward C. Moore Collection, Bequest of Edward C. Moore, 1891",
67976,Asian Art,Piece,,Japan,,1970-01-01 00:00:00.000001800,1970-01-01 00:00:00.000001899,Silk / Brocaded,"Rogers Fund, 1909",
72803,Asian Art,Hanging scroll,近代  蟬竹圖      軸|Bamboo and Cicada,China,Chinese,1970-01-01 00:00:00.000001966,1970-01-01 00:00:00.000001966,Hanging scroll; ink and color on paper,"The Lin Yutang Family Collection, Gift of Richard M. Lai, Jill Lai Miller, and Larry C. Lai, in memory of Taiyi Lin Lai, 2005",
77166,Asian Art,Drawing,,"India (Guler, Punjab Hills)",,1970-01-01 00:00:00.000001790,1970-01-01 00:00:00.000001810,Ink on paper,"Gift of Cynthia Hazen Polsky, 2011",
80735,Costume Institute,Belt,Belt,Japanese,Japanese|Japanese,1970-01-01 00:00:00.000001983,1970-01-01 00:00:00.000001987,"leather, metal","Gift of Linda A. Rosenthal, 1993",
81291,Costume Institute,Pumps,Pumps,British,British,1970-01-01 00:00:00.000001980,1970-01-01 00:00:00.000001989,leather,"Gift of Holly Solomon, 1999",
81451,Costume Institute,Evening dress,Evening dress,American,American|American,1970-01-01 00:00:00.000001983,1970-01-01 00:00:00.000001984,rayon,"Gift of Calvin Klein, Inc., 1998",
83780,Costume Institute,Shoes,Shoes,Italian,Italian,1970-01-01 00:00:00.000001983,1970-01-01 00:00:00.000001989,synthetic,"Gift of Muriel Kallis Newman, 2002",
90373,Costume Institute,Earrings,Earrings,"European, Eastern",,1970-01-01 00:00:00.000001700,1970-01-01 00:00:00.000001899,metal,"Rogers Fund, 1909",
96100,Costume Institute,Evening dress,Evening dress,French,"French, born Italy",1970-01-01 00:00:00.000001966,1970-01-01 00:00:00.000001967,[no medium available],"Gift of Mrs. William Rand, 1975",
98251,Costume Institute,Cap,Cap,probably French,,1970-01-01 00:00:00.000001800,1970-01-01 00:00:00.000001899,wool,Museum Accession,
100359,Costume Institute,Hat,Hat,French,French|French,1970-01-01 00:00:00.000001949,1970-01-01 00:00:00.000001949,"wool, cotton","Gift of Mary S. Ryan, 1981",
100359,Costume Institute,Hat,Hat,French,French|French,1970-01-01 00:00:00.000001949,1970-01-01 00:00:00.000001949,"wool, cotton","Gift of Mary S. Ryan, 1981",
114490,Costume Institute,Mules,Mules,American,American,1970-01-01 00:00:00.000001959,1970-01-01 00:00:00.000001959,"leather, wood, metal glass","Gift of Beth and Herbert Levine, 1977",
119757,Costume Institute,Gloves,Gloves,probably French,,1970-01-01 00:00:00.000001950,1970-01-01 00:00:00.000001959,leather,"Gift of Mrs. Stowe C. Phelps, 1980",
127104,Costume Institute,Ensemble,Ensemble,Romanian,,1970-01-01 00:00:00.000001800,1970-01-01 00:00:00.000001939,"linen, wool","Gift of Miss Irene Lewisohn and Alice Lewisohn Crowley, 1939",
129839,Costume Institute,Ensemble,Ensemble,British,British|British,1970-01-01 00:00:00.000001976,1970-01-01 00:00:00.000001980,"a) leather; b) leather, metal","Purchase, Richard Martin Bequest and Friends of The Costume Institute Gifts, 2006",
145237,Costume Institute,Necklace,Necklace,American,,1970-01-01 00:00:00.000001967,1970-01-01 00:00:00.000001967,"synthetic, metal","Gift of Martin F. Price, 2017",
146150,Costume Institute,Jacket,Jacket,American,American,1970-01-01 00:00:00.000002003,1970-01-01 00:00:00.000002004,"leather, wool","Catharine Breyer Van Bomel Foundation Fund, 2008",
168579,Costume Institute,Chemisette,Chemisette,American,,1970-01-01 00:00:00.000001875,1970-01-01 00:00:00.000001899,Cotton,"Brooklyn Museum Costume Collection at The Metropolitan Museum of Art, Gift of the Brooklyn Museum, 2009; Gift of Louise M. Coleman, 1941",
168781,Costume Institute,Fan,Fan,European,,1970-01-01 00:00:00.000001776,1970-01-01 00:00:00.000001799,"Ivory, paper","Brooklyn Museum Costume Collection at The Metropolitan Museum of Art, Gift of the Brooklyn Museum, 2009; Gift of George Arents in memory of Annie Walter Arents, 1949",
169926,Costume Institute,Undersleeves,Undersleeves,American,,1970-01-01 00:00:00.000001848,1970-01-01 00:00:00.000001852,Linen,"Brooklyn Museum Costume Collection at The Metropolitan Museum of Art, Gift of the Brooklyn Museum, 2009; Gift of The Jason and Peggy Westerfield Collection, 1969",
170041,Costume Institute,Evening shoes,Evening shoes,American,American,1970-01-01 00:00:00.000001938,1970-01-01 00:00:00.000001943,"Leather, metallic","Brooklyn Museum Costume Collection at The Metropolitan Museum of Art, Gift of the Brooklyn Museum, 2009; Gift of Colonel and Mrs. Horace Figuers, 1973",
174460,Costume Institute,Ensemble,Ensemble,American,American,1970-01-01 00:00:00.000001950,1970-01-01 00:00:00.000001950,Wool,"Brooklyn Museum Costume Collection at The Metropolitan Museum of Art, Gift of the Brooklyn Museum, 2009; Gift of Mrs. Albert Ogden in memory of Sheldon Stewart, 1964",
187639,European Sculpture and Decorative Arts,Knife and fork with case,Knife and fork with case,possibly Greek,,1970-01-01 00:00:00.000001700,1970-01-01 00:00:00.000001750,"Steel, silver, niello; case:  leather, silver, niello","Gift of R. Stuyvesant, 1893",
190199,European Sculpture and Decorative Arts,Swags,Set of five swags,French,,1970-01-01 00:00:00.000001700,1970-01-01 00:00:00.000001799,Gilt bronze,"Gift of J. Pierpont Morgan, 1906",
194582,European Sculpture and Decorative Arts,Jug with cover,Jug with cover,"German, Silesia (Bunzlau)",,1970-01-01 00:00:00.000001755,1970-01-01 00:00:00.000001765,Stoneware,"Gift of Mrs. Robert W. de Forest, 1920",
198408,European Sculpture and Decorative Arts,Plaque,Marriage of Peleus and Thetis,"Italian, Venice",Italian,1970-01-01 00:00:00.000001570,1970-01-01 00:00:00.000001580,Bronze,"Samuel D. Lee Fund, 1939",
200381,European Sculpture and Decorative Arts,Snuffbox,Snuffbox,"German, Hanau",,1970-01-01 00:00:00.000001770,1970-01-01 00:00:00.000001780,Gold,"Bequest of Catherine D. Wentworth, 1948",
201480,European Sculpture and Decorative Arts,Chess set,Chess set,probably German,,1970-01-01 00:00:00.000001800,1970-01-01 00:00:00.000001899,Metal,"Gift of Gustavus A. Pfeiffer, 1953",
203525,European Sculpture and Decorative Arts,Toy,Partridges in wheatsheaf,"British, Chelsea",,1970-01-01 00:00:00.000001750,1970-01-01 00:00:00.000001760,Soft-paste porcelain,"Gift of Irwin Untermyer, 1964",
